iter	Logloss
0	0.663297295
1	0.6355263878
2	0.6080417772
3	0.5842059939
4	0.5596512485
5	0.5333347015
6	0.5075475701
7	0.486953491
8	0.4647641467
9	0.4439861625
10	0.4255189854
11	0.4094327124
12	0.3925053626
13	0.3787056425
14	0.3646417032
15	0.3489970689
16	0.3360665223
17	0.3271503032
18	0.3165721643
19	0.3051166118
20	0.2958148362
21	0.2879536947
22	0.2793555114
23	0.2709461862
24	0.2620503122
25	0.2531072181
26	0.244398403
27	0.2372638197
28	0.2299369357
29	0.222867341
30	0.2159689913
31	0.2099656906
32	0.2032999319
33	0.1969178934
34	0.1916207171
35	0.1866733157
36	0.1817286462
37	0.176269509
38	0.1714266759
39	0.1671601119
40	0.1622138988
41	0.1586564909
42	0.1546918267
43	0.1505175706
44	0.1471138722
45	0.1438017377
46	0.1406422355
47	0.1370940007
48	0.1335682654
49	0.1303477947
50	0.1279020906
51	0.125336815
52	0.1230441542
53	0.1214755085
54	0.1192814079
55	0.1165756381
56	0.1145136582
57	0.1129920993
58	0.1111381009
59	0.1098965974
60	0.1080747602
61	0.106039944
62	0.1049472304
63	0.102872668
64	0.1015135142
65	0.0998656427
66	0.09830351584
67	0.09653040901
68	0.09469530086
69	0.09329665627
70	0.092077519
71	0.09050273756
72	0.08906840584
73	0.08747547822
74	0.08600209443
75	0.08440872259
76	0.08313926686
77	0.08233654794
78	0.08132877933
79	0.08040473416
80	0.07946688501
81	0.07853967481
82	0.07758914886
83	0.07632304695
84	0.07540795827
85	0.07448079249
86	0.07388522774
87	0.07260701542
88	0.07134496697
89	0.0701916013
90	0.06911901616
91	0.06860383213
92	0.06789551448
93	0.06726815503
94	0.06672173157
95	0.06587948306
96	0.06516006559
97	0.06393612524
98	0.0632223493
99	0.06224698063
100	0.06146083649
101	0.06069657549
102	0.05997215504
103	0.05938015512
104	0.05874410571
105	0.05847196843
106	0.05769123816
107	0.05724489637
108	0.056413781
109	0.05575113421
110	0.05527578518
111	0.05485109887
112	0.05426336341
113	0.05378353891
114	0.05298881031
115	0.05257414661
116	0.05212122488
117	0.05167132937
118	0.05116247541
119	0.05075437499
120	0.05021161631
121	0.04971335687
122	0.0492989597
123	0.0490433972
124	0.04864493624
125	0.04819437441
126	0.04763614038
127	0.04727148975
128	0.04688380656
129	0.04636060445
130	0.04611446208
131	0.04571041235
132	0.0455002986
133	0.04514710594
134	0.04483355393
135	0.044593228
136	0.04424273395
137	0.04406758549
138	0.04387031788
139	0.04345838611
140	0.04310262811
141	0.04285320132
142	0.04249472806
143	0.04223953758
144	0.0418987413
145	0.04175524316
146	0.04148854474
147	0.04130700513
148	0.04098311956
149	0.04071026876
150	0.0405606932
151	0.04040567878
152	0.04013259754
153	0.03984164775
154	0.03939991469
155	0.03913330789
156	0.03893285027
157	0.03861913445
158	0.03832360647
159	0.03801426339
160	0.03794473817
161	0.03774714852
162	0.03754832061
163	0.03743664493
164	0.03726060248
165	0.0370430398
166	0.03684670783
167	0.036514943
168	0.03635451193
169	0.03630062031
170	0.03610790314
171	0.03590758989
172	0.03581446574
173	0.03554660958
174	0.03543102759
175	0.03515565309
176	0.03509025907
177	0.03504552661
178	0.03483359435
179	0.03468844151
180	0.03447169786
181	0.03425722525
182	0.03411525687
183	0.0340257281
184	0.03395033924
185	0.03383487663
186	0.03368018982
187	0.03351117152
188	0.03337026926
189	0.03316763777
190	0.03305177536
191	0.0329914093
192	0.03281179092
193	0.03274075815
194	0.03245512228
195	0.03239519211
196	0.03225513386
197	0.03206245
198	0.03186108174
199	0.03180107383
200	0.0317091213
201	0.03164642312
202	0.03148399031
203	0.03143778083
204	0.0310915568
205	0.03105938174
206	0.03092292164
207	0.03086027343
208	0.0307763723
209	0.03072818051
210	0.03061198494
211	0.03037990753
212	0.03017053507
213	0.03002328331
214	0.02988286136
215	0.02966224193
216	0.02957269649
217	0.02949189654
218	0.02945315821
219	0.02935398996
220	0.0293220731
221	0.0292443188
222	0.02900463976
223	0.02898653799
224	0.02883918629
225	0.02873211379
226	0.02866892419
227	0.02863481125
228	0.02844847966
229	0.0283768472
230	0.02814679375
231	0.02803933256
232	0.02800768501
233	0.02787686921
234	0.02776562664
235	0.02772182426
236	0.02768987131
237	0.02764097988
238	0.02746418782
239	0.02733507115
240	0.02720554913
241	0.02697549567
242	0.02691087348
243	0.02684229222
244	0.0267640354
245	0.0266006503
246	0.02651510003
247	0.02632356558
248	0.02628518261
249	0.02617679135
250	0.02614644035
251	0.02605007066
252	0.02603483131
253	0.02594074377
254	0.02587338132
255	0.02578014057
256	0.02563200594
257	0.02559199604
258	0.02553141343
259	0.02549896907
260	0.02546892347
261	0.0253883484
262	0.02523931423
263	0.02497435657
264	0.02487013538
265	0.02474928666
266	0.02469213561
267	0.02445005503
268	0.02427574224
269	0.02418624123
270	0.02409331143
271	0.02398325991
272	0.02385681685
273	0.02382882297
274	0.02378496506
275	0.02373333616
276	0.02362891229
277	0.02361699622
278	0.02356934027
279	0.02345684279
280	0.02338820878
281	0.02333795139
282	0.02323122316
283	0.0231843307
284	0.02308762507
285	0.0229628159
286	0.02288850843
287	0.02275738862
288	0.02262205987
289	0.02255814426
290	0.02246011293
291	0.0224168672
292	0.0223612709
293	0.02222306308
294	0.02203111496
295	0.02200988703
296	0.02199328588
297	0.02193655267
298	0.02192114534
299	0.02181824985
300	0.02177712942
301	0.02164922878
302	0.02159570919
303	0.02156666446
304	0.02146289442
305	0.02139321095
306	0.02129393304
307	0.02115588348
308	0.02110293581
309	0.02106185424
310	0.02104447294
311	0.02094392624
312	0.02091488845
313	0.02085778876
314	0.02070637249
315	0.02065890116
316	0.02060820234
317	0.0205464967
318	0.02046740836
319	0.02044595693
320	0.02037100813
321	0.02031412361
322	0.02025162393
323	0.02024297423
324	0.02016651925
325	0.02005919688
326	0.02004117841
327	0.02000776649
328	0.01997422686
329	0.01994082883
330	0.01989122804
331	0.01977944686
332	0.01973028058
333	0.01971763711
334	0.01968662534
335	0.01962672571
336	0.01957286602
337	0.01943657665
338	0.01936041042
339	0.0192910851
340	0.01922664892
341	0.01912811923
342	0.01911372666
343	0.01902672019
344	0.01900767864
345	0.01899617069
346	0.01887726541
347	0.01885896652
348	0.0188422682
349	0.018824029
350	0.01881428959
351	0.01873471123
352	0.01861519654
353	0.0185790055
354	0.01857362217
355	0.01840281035
356	0.01837332696
357	0.01834466537
358	0.01830957515
359	0.01827447106
360	0.01819336571
361	0.01817958948
362	0.01809619365
363	0.01806371181
364	0.01802469862
365	0.01794590735
366	0.01789820142
367	0.01788291487
368	0.01786600416
369	0.01773667925
370	0.0176888359
